sample;replic;value;variable
R_96h;2;0.038006639;NO2
RP_96h;1;0.056561273;NO2
RP_96h;2;0.034328941;NO2
C_120h;1;0.035681768;NO2
C_120h;2;0.038292615;NO2
R_120h;1;0.04607424;NO2
R_120h;2;0.077496636;NO2
RP_120h;1;0.048971184;NO2
RP_120h;2;0.076707557;NO2
C_0h;1;0.422289077;NH4
C_0h;2;0.101122299;NH4
R_0h;1;0.296484052;NH4
R_0h;2;0.881774375;NH4
RP_0h;1;0.577062505;NH4
RP_0h;2;0.174375287;NH4
C_24h;1;0.485741497;NH4
C_24h;2;0.023642554;NH4
R_24h;1;0.012978175;NH4
R_24h;2;0.030006384;NH4
RP_24h;1;0.773791;NH4
RP_24h;2;0.773790721;NH4
C_48h;1;0.692757082;NH4
C_48h;2;0.57880555;NH4
R_48h;1;0.309582334;NH4
R_48h;2;0.153362493;NH4
RP_48h;1;0.470968656;NH4
RP_48h;2;0.103671553;NH4
C_72h;1;0.219181721;NH4
C_72h;2;1.975110047;NH4
R_72h;1;1.515256022;NH4
R_72h;2;0.656702184;NH4
RP_72h;1;1.82736393;NH4
RP_72h;2;0.766752765;NH4
C_96h;1;0.616877755;NH4
C_96h;2;0.637989791;NH4
R_96h;1;1.052585615;NH4
R_96h;2;1.067747568;NH4
RP_96h;1;1.551670796;NH4
RP_96h;2;0.337265127;NH4
C_120h;1;1.4294519;NH4
C_120h;2;2.150788348;NH4
R_120h;1;1.401488138;NH4
R_120h;2;1.656389405;NH4
RP_120h;1;1.051716003;NH4
RP_120h;2;1.444970295;NH4
C_0h;1;0.062859995;PO4
C_0h;2;0.075385935;PO4
R_0h;1;0.072545543;PO4
R_0h;2;0.067827743;PO4
RP_0h;1;1.553349783;PO4
RP_0h;2;1.56128671;PO4
C_24h;1;0.084930669;PO4
C_24h;2;0.07106691;PO4
R_24h;1;0.071368602;PO4
R_24h;2;0.06472257;PO4
RP_24h;1;0.998260449;PO4
RP_24h;2;0.920490488;PO4
C_48h;1;0.052561452;PO4
C_48h;2;0.025597536;PO4
R_48h;1;0.050314638;PO4
R_48h;2;0.0531298;PO4
RP_48h;1;0.534996174;PO4
RP_48h;2;0.59245443;PO4
C_72h;1;0.070171475;PO4
C_72h;2;0.045466073;PO4
R_72h;1;0.068376062;PO4
R_72h;2;0.073697342;PO4
RP_72h;1;0.267786453;PO4
RP_72h;2;0.217998215;PO4
C_96h;1;0.056473959;PO4
C_96h;2;0.0558784;PO4
R_96h;1;0.04910619;PO4
R_96h;2;0.065137148;PO4
RP_96h;1;0.089533604;PO4
RP_96h;2;0.09097501;PO4
C_120h;1;0.12670359;PO4
C_120h;2;0.143912796;PO4
R_120h;1;0.081084714;PO4
R_120h;2;0.078426774;PO4
RP_120h;1;0.130786474;PO4
RP_120h;2;0.115971357;PO4
C_0h;1;1.140969295;SiO4H4
C_0h;2;1.111112111;SiO4H4
R_0h;1;13.84303506;SiO4H4
R_0h;2;13.27444644;SiO4H4
RP_0h;1;13.9223349;SiO4H4
RP_0h;2;14.01667862;SiO4H4
C_24h;1;1.039870443;SiO4H4
C_24h;2;0.923000589;SiO4H4
R_24h;1;7.694016331;SiO4H4
R_24h;2;7.666613787;SiO4H4
RP_24h;1;9.556487487;SiO4H4
RP_24h;2;7.965672714;SiO4H4
C_48h;1;0.452773119;SiO4H4
C_48h;2;0.695707952;SiO4H4
R_48h;1;1.24376745;SiO4H4
R_48h;2;1.004403488;SiO4H4
RP_48h;1;1.390445615;SiO4H4
RP_48h;2;1.852023455;SiO4H4
C_72h;1;0.953831534;SiO4H4
C_72h;2;1.123273176;SiO4H4
R_72h;1;0.686670514;SiO4H4
R_72h;2;0.76101369;SiO4H4
RP_72h;1;1.04458248;SiO4H4
RP_72h;2;0.642214926;SiO4H4
C_96h;1;0.856099196;SiO4H4
C_96h;2;0.730098771;SiO4H4
R_96h;1;0.873099267;SiO4H4
R_96h;2;0.659786261;SiO4H4
RP_96h;1;0.392837649;SiO4H4
RP_96h;2;0.752125334;SiO4H4
C_120h;1;1.159163441;SiO4H4
C_120h;2;1.25869353;SiO4H4
R_120h;1;1.045925768;SiO4H4
R_120h;2;0.916476208;SiO4H4
RP_120h;1;1.251668842;SiO4H4
RP_120h;2;0.923592229;SiO4H4
C_0h;1;0.498675633;DIN
C_0h;2;0.173960394;DIN
R_0h;1;2.800390488;DIN
R_0h;2;3.353404394;DIN
RP_0h;1;3.176460979;DIN
RP_0h;2;2.755805622;DIN
C_24h;1;0.559768123;DIN
C_24h;2;0.087363484;DIN
R_24h;1;0.246252668;DIN
R_24h;2;0.253804827;DIN
